code_type,code_version,codes,Description,bill_type,cancer_type,cancer,net,newly_identified
DIAG,ICD9,01161,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01162,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01163,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0117,Tuberculous pneumothorax,0.0,,N,,
DIAG,ICD9,01170,"Tuberculous pneumothorax, unspecified",1.0,,N,,
DIAG,ICD9,01171,"Tuberculous pneumothorax, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0118,Other specified pulmonary tuberculosis,0.0,,N,,
DIAG,ICD9,01180,"Other specified pulmonary tuberculosis, unspecified",1.0,,N,,
DIAG,ICD9,01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0119,Unspecified pulmonary tuberculosis,0.0,,N,,
DIAG,ICD9,01190,"Pulmonary tuberculosis, unspecified, unspecified",1.0,,N,,
DIAG,ICD9,01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01196,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,012,Other respiratory tuberculosis,0.0,,N,,
DIAG,ICD9,0120,Tuberculous pleurisy,0.0,,N,,
DIAG,ICD9,01200,"Tuberculous pleurisy, unspecified",1.0,,N,,
DIAG,ICD9,01201,"Tuberculous pleurisy, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01204,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01206,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0121,Tuberculosis of intrathoracic lymph nodes,0.0,,N,,
DIAG,ICD9,01210,"Tuberculosis of intrathoracic lymph nodes, unspecified",1.0,,N,,
DIAG,ICD9,01211,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01212,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01213,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01214,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01216,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0122,Isolated tracheal or bronchial tuberculosis,0.0,,N,,
DIAG,ICD9,01220,"Isolated tracheal or bronchial tuberculosis, unspecified",1.0,,N,,
DIAG,ICD9,01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01222,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01224,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01225,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01226,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0123,Tuberculous laryngitis,0.0,,N,,
DIAG,ICD9,01230,"Tuberculous laryngitis, unspecified",1.0,,N,,
DIAG,ICD9,01231,"Tuberculous laryngitis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01232,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01233,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01235,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0128,Other specified respiratory tuberculosis,0.0,,N,,
DIAG,ICD9,01280,"Other specified respiratory tuberculosis, unspecified",1.0,,N,,
DIAG,ICD9,01281,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01283,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01284,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,013,Tuberculosis of meninges and central nervous system,0.0,,N,,
DIAG,ICD9,0130,Tuberculous meningitis,0.0,,N,,
DIAG,ICD9,01300,"Tuberculous meningitis, unspecified",1.0,,N,,
DIAG,ICD9,01301,"Tuberculous meningitis, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01302,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01303,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01305,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01306,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0131,Tuberculoma of meninges,0.0,,N,,
DIAG,ICD9,01310,"Tuberculoma of meninges, unspecified",1.0,,N,,
DIAG,ICD9,01311,"Tuberculoma of meninges, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01312,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01313,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01314,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
DIAG,ICD9,01315,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1.0,,N,,
DIAG,ICD9,01316,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1.0,,N,,
DIAG,ICD9,0132,Tuberculoma of brain,0.0,,N,,
DIAG,ICD9,01320,"Tuberculoma of brain, unspecified",1.0,,N,,
DIAG,ICD9,01321,"Tuberculoma of brain, bacteriological or histological examination not done",1.0,,N,,
DIAG,ICD9,01322,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)",1.0,,N,,
DIAG,ICD9,01323,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy",1.0,,N,,
DIAG,ICD9,01324,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1.0,,N,,
